,Product,Prices
0,"Infinix Smart 4 Plus (Midnight Black, 32 GB)","₹7,499"
1,"Infinix Smart 4 Plus (Quetzal Cyan, 32 GB)","₹7,499"
2,"Infinix Smart 4 Plus (Violet, 32 GB)","₹7,499"
3,"REDMI Note 9 (Aqua Green, 64 GB)","₹10,999"
4,"realme C20 (Cool Grey, 32 GB)","₹6,799"
5,"realme C20 (Cool Blue, 32 GB)","₹6,799"
6,"realme C21 (Cross Blue, 64 GB)","₹8,999"
7,"realme C21 (Cross Black, 32 GB)","₹7,999"
8,"realme C21 (Cross Black, 64 GB)","₹8,999"
9,"REDMI 9i (Midnight Black, 64 GB)","₹7,999"
10,"Infinix Hot 10 (Amber Red, 64 GB)","₹9,499"
11,"Infinix Hot 10 (Obsidian Black, 64 GB)","₹9,499"
12,"Infinix Hot 10 (Ocean Wave, 64 GB)","₹9,499"
13,"Infinix Hot 10 (Moonlight Jade, 64 GB)","₹9,499"
14,"POCO M3 (Power Black, 128 GB)","₹11,999"
15,"POCO M3 (Power Black, 64 GB)","₹10,499"
16,"POCO M3 (Cool Blue, 64 GB)","₹10,499"
17,"REDMI 9 Power (Electric Green, 64 GB)","₹10,499"
18,"OPPO A53 (Mint Cream, 128 GB)","₹12,990"
19,"Infinix Hot 10 Play (7° Purple, 64 GB)","₹8,499"
20,"OPPO A53s 5G (Crystal Blue, 128 GB)","₹14,990"
21,"OPPO A53s 5G (Ink Black, 128 GB)","₹14,990"
22,"OPPO A33 (Moonlight Black, 32 GB)","₹8,990"
23,"POCO M2 Reloaded (Mostly Blue, 64 GB)","₹9,499"
